name,symbol,atomic_mass,boiling_point,conductivity/thermal,critical_pressure,critical_temperature,crystal_structure,density/stp,electron_affinity,electronegativity_pauling,electrons_per_shell/0,energy_levels,heat/specific,heat/vaporization,heat/fusion,heat/molar,ionization_energies/0,melting_point,molar_volume,neutron_cross_section,neutron_mass_absorption,period,phase,radius/calculated,radius/empirical,radius/covalent,radius/vanderwaals,refractive_index,valence_electrons,ionization_energies/1,conductivity/electric,density/liquid,electrical_type,electrons_per_shell/1,hardness/mohs,ionization_energies/2,modulus/bulk,modulus/shear,modulus/young,resistivity,thermal_expansion
Hassium,Hs,269,,,,,,,,,2,"2, 8, 18, 32, 32, 14, 2",,,,,,126,,,,7,Solid,,,,,,,,,,,8,,,,,,,
Meitnerium,Mt,278,,,,,,,,,2,"2, 8, 18, 32, 32, 15, 2",,,,,,,,,,7,Solid,,,,,,,,,,,8,,,,,,,
Darmstadtium,Ds,281,,,,,,,,,2,"2, 8, 18, 32, 32, 16, 2",,,,,,,,,,7,Solid,,,,,,,,,,,8,,,,,,,
Roentgenium,Rg,282,,,,,,,151,,2,"2, 8, 18, 32, 32, 17, 2",,,,,,,,,,7,Solid,,,,,,,,,,,8,,,,,,,
Copernicium,Cn,285,3570,,,,,,,,2,"2, 8, 18, 32, 32, 18, 2",,,,,,,,,,7,Gas,,,,,,,,,,,8,,,,,,,
Nihonium,Nh,286,1430,,,,,,66.6,,2,"2, 8, 18, 32, 32, 18, 3",,,,,,700,,,,7,Solid,,,,,,,,,,,8,,,,,,,
Flerovium,Fl,289,420,,,,,,,,2,"2, 8, 18, 32, 32, 18, 4",,,,,,340,,,,7,Solid,,,,,,,,,,,8,,,,,,,
Moscovium,Mc,289,1400,,,,,,35.3,,2,"2, 8, 18, 32, 32, 18, 5",,,,,,670,,,,7,Solid,,,,,,,,,,,8,,,,,,,
Livermorium,Lv,293,1085,,,,,,74.9,,2,"2, 8, 18, 32, 32, 18, 6",,,,,,709,,,,7,Solid,,,,,,,,,,,8,,,,,,,
Tennessine,Ts,294,883,,,,,,165.9,,2,"2, 8, 18, 32, 32, 18, 7",,,,,,723,,,,7,Solid,,,,,,,,,,,8,,,,,,,
Oganesson,Og,294,350,,,,,,5.40318,,2,"2, 8, 18, 32, 32, 18, 8",,,,,,,,,,7,Solid,,,,,,,,,,,8,,,,,,,
Ununennium,Uue,315,630,,,,,,63.87,,2,"2, 8, 18, 32, 32, 18, 8, 1",,,,,,,,,,8,Solid,,,,,,,,,,,8,,,,,,,
