dataset,method,run,seed,train_acc,test_acc,TP,FP,TN,FN,n_classes,d_original,d_retained,efs_std_input,efs_prune_ratio,efs_val_size,efs_best_std
HAR (moderate–high redundancy),Baseline,2,750,1.0,0.978252427184466,2519,56,-56,56,6,561,561,,,,
HAR (moderate–high redundancy),MutualInfo,2,750,1.0,0.9374757281553399,2414,161,-161,161,6,561,50,,,,
HAR (moderate–high redundancy),RFE,2,750,1.0,0.9794174757281553,2522,53,-53,53,6,561,50,,,,
HAR (moderate–high redundancy),L1,2,750,1.0,0.974757281553398,2510,65,-65,65,6,561,50,,,,
HAR (moderate–high redundancy),ElliotFS,2,750,1.0,0.9763106796116505,2514,61,-61,61,6,561,120,None,0.8,0.25,3.0
HAR (moderate–high redundancy),Baseline,3,3357,1.0,0.9778640776699029,2518,57,-57,57,6,561,561,,,,
HAR (moderate–high redundancy),MutualInfo,3,3357,1.0,0.9444660194174758,2432,143,-143,143,6,561,50,,,,
HAR (moderate–high redundancy),RFE,3,3357,1.0,0.9790291262135923,2521,54,-54,54,6,561,50,,,,
HAR (moderate–high redundancy),L1,3,3357,1.0,0.9778640776699029,2518,57,-57,57,6,561,50,,,,
HAR (moderate–high redundancy),ElliotFS,3,3357,1.0,0.9790291262135923,2521,54,-54,54,6,561,122,None,0.8,0.25,2.0
HAR (moderate–high redundancy),Baseline,4,1329,1.0,0.9786407766990292,2520,55,-55,55,6,561,561,,,,
HAR (moderate–high redundancy),MutualInfo,4,1329,1.0,0.9335922330097087,2404,171,-171,171,6,561,50,,,,
HAR (moderate–high redundancy),RFE,4,1329,1.0,0.9724271844660194,2504,71,-71,71,6,561,50,,,,
HAR (moderate–high redundancy),L1,4,1329,1.0,0.9766990291262136,2515,60,-60,60,6,561,50,,,,
HAR (moderate–high redundancy),ElliotFS,4,1329,1.0,0.9759223300970874,2513,62,-62,62,6,561,128,None,0.8,0.25,0.0
HAR (moderate–high redundancy),Baseline,5,1673,1.0,0.9766990291262136,2515,60,-60,60,6,561,561,,,,
