dataset,method,run,seed,train_acc,test_acc,TP,FP,TN,FN,n_classes,d_original,d_retained,efs_std_input,efs_prune_ratio,efs_val_size,efs_best_std
Breast Cancer (low redundancy),L1,28,4664,1.0,0.9440559440559441,87,5,48,3,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,28,4664,1.0,0.9440559440559441,87,5,48,3,2,30,9,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,29,1282,1.0,0.951048951048951,89,6,47,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,29,1282,1.0,0.951048951048951,89,6,47,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,29,1282,1.0,0.951048951048951,89,6,47,1,2,30,30,,,,
Breast Cancer (low redundancy),L1,29,1282,1.0,0.958041958041958,89,5,48,1,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,29,1282,1.0,0.958041958041958,89,5,48,1,2,30,10,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,30,5379,1.0,0.993006993006993,89,0,53,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,30,5379,1.0,0.993006993006993,89,0,53,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,30,5379,1.0,0.993006993006993,89,0,53,1,2,30,30,,,,
Breast Cancer (low redundancy),L1,30,5379,1.0,0.9790209790209791,89,2,51,1,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,30,5379,1.0,0.972027972027972,88,2,51,2,2,30,9,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,31,6358,1.0,0.965034965034965,89,4,49,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,31,6358,1.0,0.965034965034965,89,4,49,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,31,6358,1.0,0.965034965034965,89,4,49,1,2,30,30,,,,
Breast Cancer (low redundancy),L1,31,6358,1.0,0.951048951048951,88,5,48,2,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,31,6358,1.0,0.951048951048951,87,4,49,3,2,30,9,None,0.8,0.25,1.0
Breast Cancer (low redundancy),Baseline,32,9288,1.0,0.951048951048951,86,3,50,4,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,32,9288,1.0,0.951048951048951,86,3,50,4,2,30,30,,,,
Breast Cancer (low redundancy),RFE,32,9288,1.0,0.951048951048951,86,3,50,4,2,30,30,,,,
Breast Cancer (low redundancy),L1,32,9288,1.0,0.958041958041958,86,2,51,4,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,32,9288,1.0,0.958041958041958,86,2,51,4,2,30,10,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,33,3078,1.0,0.958041958041958,85,1,52,5,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,33,3078,1.0,0.958041958041958,85,1,52,5,2,30,30,,,,
Breast Cancer (low redundancy),RFE,33,3078,1.0,0.958041958041958,85,1,52,5,2,30,30,,,,
Breast Cancer (low redundancy),L1,33,3078,1.0,0.951048951048951,85,2,51,5,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,33,3078,1.0,0.951048951048951,85,2,51,5,2,30,6,None,0.8,0.25,3.0
Breast Cancer (low redundancy),Baseline,34,175,1.0,0.9300699300699301,87,7,46,3,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,34,175,1.0,0.9300699300699301,87,7,46,3,2,30,30,,,,
Breast Cancer (low redundancy),RFE,34,175,1.0,0.9300699300699301,87,7,46,3,2,30,30,,,,
Breast Cancer (low redundancy),L1,34,175,1.0,0.9090909090909091,85,8,45,5,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,34,175,1.0,0.916083916083916,86,8,45,4,2,30,8,None,0.8,0.25,3.0
Breast Cancer (low redundancy),Baseline,35,4296,1.0,0.951048951048951,88,5,48,2,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,35,4296,1.0,0.951048951048951,88,5,48,2,2,30,30,,,,
Breast Cancer (low redundancy),RFE,35,4296,1.0,0.951048951048951,88,5,48,2,2,30,30,,,,
Breast Cancer (low redundancy),L1,35,4296,1.0,0.951048951048951,88,5,48,2,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,35,4296,1.0,0.958041958041958,88,4,49,2,2,30,11,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,36,6275,1.0,0.958041958041958,88,4,49,2,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,36,6275,1.0,0.958041958041958,88,4,49,2,2,30,30,,,,
Breast Cancer (low redundancy),RFE,36,6275,1.0,0.958041958041958,88,4,49,2,2,30,30,,,,
Breast Cancer (low redundancy),L1,36,6275,1.0,0.9370629370629371,84,3,50,6,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,36,6275,1.0,0.951048951048951,86,3,50,4,2,30,8,None,0.8,0.25,1.0
Breast Cancer (low redundancy),Baseline,37,1236,1.0,0.972027972027972,87,1,52,3,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,37,1236,1.0,0.972027972027972,87,1,52,3,2,30,30,,,,
Breast Cancer (low redundancy),RFE,37,1236,1.0,0.972027972027972,87,1,52,3,2,30,30,,,,
Breast Cancer (low redundancy),L1,37,1236,1.0,0.972027972027972,87,1,52,3,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,37,1236,1.0,0.972027972027972,87,1,52,3,2,30,10,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,38,9420,1.0,0.951048951048951,89,6,47,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,38,9420,1.0,0.951048951048951,89,6,47,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,38,9420,1.0,0.951048951048951,89,6,47,1,2,30,30,,,,
Breast Cancer (low redundancy),L1,38,9420,1.0,0.951048951048951,89,6,47,1,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,38,9420,1.0,0.9440559440559441,88,6,47,2,2,30,8,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,39,8754,1.0,0.9020979020979021,84,8,45,6,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,39,8754,1.0,0.9020979020979021,84,8,45,6,2,30,30,,,,
Breast Cancer (low redundancy),RFE,39,8754,1.0,0.9020979020979021,84,8,45,6,2,30,30,,,,
Breast Cancer (low redundancy),L1,39,8754,1.0,0.9090909090909091,84,7,46,6,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,39,8754,1.0,0.9090909090909091,84,7,46,6,2,30,11,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,40,9446,1.0,0.972027972027972,89,3,50,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,40,9446,1.0,0.972027972027972,89,3,50,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,40,9446,1.0,0.972027972027972,89,3,50,1,2,30,30,,,,
Breast Cancer (low redundancy),L1,40,9446,1.0,0.965034965034965,88,3,50,2,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,40,9446,1.0,0.972027972027972,89,3,50,1,2,30,11,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,41,7101,1.0,0.972027972027972,87,1,52,3,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,41,7101,1.0,0.972027972027972,87,1,52,3,2,30,30,,,,
Breast Cancer (low redundancy),RFE,41,7101,1.0,0.972027972027972,87,1,52,3,2,30,30,,,,
Breast Cancer (low redundancy),L1,41,7101,1.0,0.951048951048951,86,3,50,4,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,41,7101,1.0,0.951048951048951,86,3,50,4,2,30,10,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,42,8648,1.0,0.965034965034965,88,3,50,2,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,42,8648,1.0,0.965034965034965,88,3,50,2,2,30,30,,,,
Breast Cancer (low redundancy),RFE,42,8648,1.0,0.965034965034965,88,3,50,2,2,30,30,,,,
Breast Cancer (low redundancy),L1,42,8648,1.0,0.9440559440559441,86,4,49,4,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,42,8648,1.0,0.951048951048951,86,3,50,4,2,30,8,None,0.8,0.25,2.0
Breast Cancer (low redundancy),Baseline,43,5667,1.0,0.958041958041958,89,5,48,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,43,5667,1.0,0.958041958041958,89,5,48,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,43,5667,1.0,0.958041958041958,89,5,48,1,2,30,30,,,,
Breast Cancer (low redundancy),L1,43,5667,1.0,0.9300699300699301,89,9,44,1,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,43,5667,1.0,0.9370629370629371,89,8,45,1,2,30,9,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,44,9009,1.0,0.958041958041958,88,4,49,2,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,44,9009,1.0,0.958041958041958,88,4,49,2,2,30,30,,,,
Breast Cancer (low redundancy),RFE,44,9009,1.0,0.958041958041958,88,4,49,2,2,30,30,,,,
Breast Cancer (low redundancy),L1,44,9009,1.0,0.951048951048951,88,5,48,2,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,44,9009,1.0,0.951048951048951,88,5,48,2,2,30,10,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,45,4482,1.0,0.9790209790209791,90,3,50,0,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,45,4482,1.0,0.9790209790209791,90,3,50,0,2,30,30,,,,
Breast Cancer (low redundancy),RFE,45,4482,1.0,0.9790209790209791,90,3,50,0,2,30,30,,,,
Breast Cancer (low redundancy),L1,45,4482,1.0,0.958041958041958,89,5,48,1,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,45,4482,1.0,0.958041958041958,89,5,48,1,2,30,9,None,0.8,0.25,1.0
Breast Cancer (low redundancy),Baseline,46,6813,1.0,0.958041958041958,89,5,48,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,46,6813,1.0,0.958041958041958,89,5,48,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,46,6813,1.0,0.958041958041958,89,5,48,1,2,30,30,,,,
Breast Cancer (low redundancy),L1,46,6813,1.0,0.951048951048951,89,6,47,1,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,46,6813,1.0,0.951048951048951,89,6,47,1,2,30,9,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,47,1611,1.0,0.9790209790209791,87,0,53,3,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,47,1611,1.0,0.9790209790209791,87,0,53,3,2,30,30,,,,
Breast Cancer (low redundancy),RFE,47,1611,1.0,0.9790209790209791,87,0,53,3,2,30,30,,,,
Breast Cancer (low redundancy),L1,47,1611,1.0,0.958041958041958,86,2,51,4,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,47,1611,1.0,0.958041958041958,86,2,51,4,2,30,10,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,48,949,1.0,0.965034965034965,88,3,50,2,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,48,949,1.0,0.965034965034965,88,3,50,2,2,30,30,,,,
Breast Cancer (low redundancy),RFE,48,949,1.0,0.965034965034965,88,3,50,2,2,30,30,,,,
Breast Cancer (low redundancy),L1,48,949,1.0,0.951048951048951,86,3,50,4,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,48,949,1.0,0.9440559440559441,86,4,49,4,2,30,7,None,0.8,0.25,3.0
Breast Cancer (low redundancy),Baseline,49,6682,1.0,0.9300699300699301,85,5,48,5,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,49,6682,1.0,0.9300699300699301,85,5,48,5,2,30,30,,,,
Breast Cancer (low redundancy),RFE,49,6682,1.0,0.9300699300699301,85,5,48,5,2,30,30,,,,
Breast Cancer (low redundancy),L1,49,6682,1.0,0.916083916083916,83,5,48,7,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,49,6682,1.0,0.9230769230769231,84,5,48,6,2,30,9,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,50,3318,1.0,0.972027972027972,87,1,52,3,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,50,3318,1.0,0.972027972027972,87,1,52,3,2,30,30,,,,
Breast Cancer (low redundancy),RFE,50,3318,1.0,0.972027972027972,87,1,52,3,2,30,30,,,,
Breast Cancer (low redundancy),L1,50,3318,1.0,0.951048951048951,87,4,49,3,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,50,3318,1.0,0.951048951048951,87,4,49,3,2,30,10,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,1,3893,1.0,0.9733333333333334,438,12,-12,12,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,1,3893,1.0,0.9733333333333334,438,12,-12,12,10,64,32,,,,
Digits (moderate redundancy),RFE,1,3893,1.0,0.98,441,9,-9,9,10,64,32,,,,
Digits (moderate redundancy),L1,1,3893,1.0,0.9755555555555555,439,11,-11,11,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,1,3893,1.0,0.9688888888888889,436,14,-14,14,10,64,22,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,2,4424,1.0,0.9822222222222222,442,8,-8,8,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,2,4424,1.0,0.9822222222222222,442,8,-8,8,10,64,32,,,,
Digits (moderate redundancy),RFE,2,4424,1.0,0.9777777777777777,440,10,-10,10,10,64,32,,,,
Digits (moderate redundancy),L1,2,4424,1.0,0.9777777777777777,440,10,-10,10,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,2,4424,1.0,0.9622222222222222,433,17,-17,17,10,64,21,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,3,2681,1.0,0.9733333333333334,438,12,-12,12,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,3,2681,1.0,0.9733333333333334,438,12,-12,12,10,64,32,,,,
Digits (moderate redundancy),RFE,3,2681,1.0,0.9711111111111111,437,13,-13,13,10,64,32,,,,
Digits (moderate redundancy),L1,3,2681,1.0,0.9711111111111111,437,13,-13,13,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,3,2681,1.0,0.9622222222222222,433,17,-17,17,10,64,18,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,4,2486,1.0,0.9822222222222222,442,8,-8,8,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,4,2486,1.0,0.9822222222222222,442,8,-8,8,10,64,32,,,,
Digits (moderate redundancy),RFE,4,2486,1.0,0.9777777777777777,440,10,-10,10,10,64,32,,,,
Digits (moderate redundancy),L1,4,2486,1.0,0.9777777777777777,440,10,-10,10,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,4,2486,1.0,0.9688888888888889,436,14,-14,14,10,64,21,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,5,8047,1.0,0.9733333333333334,438,12,-12,12,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,5,8047,1.0,0.9733333333333334,438,12,-12,12,10,64,32,,,,
Digits (moderate redundancy),RFE,5,8047,1.0,0.9666666666666667,435,15,-15,15,10,64,32,,,,
Digits (moderate redundancy),L1,5,8047,1.0,0.9688888888888889,436,14,-14,14,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,5,8047,1.0,0.9577777777777777,431,19,-19,19,10,64,19,None,0.8,0.25,1.0
Digits (moderate redundancy),Baseline,6,3510,1.0,0.9688888888888889,436,14,-14,14,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,6,3510,1.0,0.9555555555555556,430,20,-20,20,10,64,32,,,,
Digits (moderate redundancy),RFE,6,3510,1.0,0.9688888888888889,436,14,-14,14,10,64,32,,,,
Digits (moderate redundancy),L1,6,3510,1.0,0.9688888888888889,436,14,-14,14,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,6,3510,1.0,0.9466666666666667,426,24,-24,24,10,64,21,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,7,9139,1.0,0.98,441,9,-9,9,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,7,9139,1.0,0.98,441,9,-9,9,10,64,32,,,,
Digits (moderate redundancy),RFE,7,9139,1.0,0.9777777777777777,440,10,-10,10,10,64,32,,,,
Digits (moderate redundancy),L1,7,9139,1.0,0.9733333333333334,438,12,-12,12,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,7,9139,1.0,0.9644444444444444,434,16,-16,16,10,64,17,None,0.8,0.25,1.0
Digits (moderate redundancy),Baseline,8,5262,1.0,0.9888888888888889,445,5,-5,5,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,8,5262,1.0,0.98,441,9,-9,9,10,64,32,,,,
Digits (moderate redundancy),RFE,8,5262,1.0,0.9822222222222222,442,8,-8,8,10,64,32,,,,
Digits (moderate redundancy),L1,8,5262,1.0,0.9844444444444445,443,7,-7,7,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,8,5262,1.0,0.9577777777777777,431,19,-19,19,10,64,20,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,9,8795,1.0,0.98,441,9,-9,9,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,9,8795,1.0,0.98,441,9,-9,9,10,64,32,,,,
Digits (moderate redundancy),RFE,9,8795,1.0,0.98,441,9,-9,9,10,64,32,,,,
Digits (moderate redundancy),L1,9,8795,1.0,0.9777777777777777,440,10,-10,10,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,9,8795,1.0,0.9622222222222222,433,17,-17,17,10,64,23,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,10,5661,1.0,0.9866666666666667,444,6,-6,6,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,10,5661,1.0,0.9755555555555555,439,11,-11,11,10,64,32,,,,
Digits (moderate redundancy),RFE,10,5661,1.0,0.9822222222222222,442,8,-8,8,10,64,32,,,,
Digits (moderate redundancy),L1,10,5661,1.0,0.9822222222222222,442,8,-8,8,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,10,5661,1.0,0.96,432,18,-18,18,10,64,21,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,11,3996,1.0,0.9755555555555555,439,11,-11,11,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,11,3996,1.0,0.9688888888888889,436,14,-14,14,10,64,32,,,,
Digits (moderate redundancy),RFE,11,3996,1.0,0.9733333333333334,438,12,-12,12,10,64,32,,,,
Digits (moderate redundancy),L1,11,3996,1.0,0.9733333333333334,438,12,-12,12,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,11,3996,1.0,0.9666666666666667,435,15,-15,15,10,64,21,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,12,7914,1.0,0.9755555555555555,439,11,-11,11,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,12,7914,1.0,0.9711111111111111,437,13,-13,13,10,64,32,,,,
Digits (moderate redundancy),RFE,12,7914,1.0,0.9733333333333334,438,12,-12,12,10,64,32,,,,
Digits (moderate redundancy),L1,12,7914,1.0,0.9666666666666667,435,15,-15,15,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,12,7914,1.0,0.9577777777777777,431,19,-19,19,10,64,18,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,13,2065,1.0,0.98,441,9,-9,9,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,13,2065,1.0,0.9711111111111111,437,13,-13,13,10,64,32,,,,
Digits (moderate redundancy),RFE,13,2065,1.0,0.9733333333333334,438,12,-12,12,10,64,32,,,,
Digits (moderate redundancy),L1,13,2065,1.0,0.9755555555555555,439,11,-11,11,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,13,2065,1.0,0.9644444444444444,434,16,-16,16,10,64,21,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,14,2367,1.0,0.9711111111111111,437,13,-13,13,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,14,2367,1.0,0.9666666666666667,435,15,-15,15,10,64,32,,,,
Digits (moderate redundancy),RFE,14,2367,1.0,0.9644444444444444,434,16,-16,16,10,64,32,,,,
Digits (moderate redundancy),L1,14,2367,1.0,0.9555555555555556,430,20,-20,20,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,14,2367,1.0,0.9422222222222222,424,26,-26,26,10,64,20,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,15,9368,1.0,0.9844444444444445,443,7,-7,7,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,15,9368,1.0,0.9844444444444445,443,7,-7,7,10,64,32,,,,
Digits (moderate redundancy),RFE,15,9368,1.0,0.98,441,9,-9,9,10,64,32,,,,
Digits (moderate redundancy),L1,15,9368,1.0,0.9844444444444445,443,7,-7,7,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,15,9368,1.0,0.9666666666666667,435,15,-15,15,10,64,20,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,16,325,1.0,0.9666666666666667,435,15,-15,15,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,16,325,1.0,0.9733333333333334,438,12,-12,12,10,64,32,,,,
Digits (moderate redundancy),RFE,16,325,1.0,0.9622222222222222,433,17,-17,17,10,64,32,,,,
Digits (moderate redundancy),L1,16,325,1.0,0.9666666666666667,435,15,-15,15,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,16,325,1.0,0.9555555555555556,430,20,-20,20,10,64,20,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,17,5024,1.0,0.9755555555555555,439,11,-11,11,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,17,5024,1.0,0.9777777777777777,440,10,-10,10,10,64,32,,,,
Digits (moderate redundancy),RFE,17,5024,1.0,0.9711111111111111,437,13,-13,13,10,64,32,,,,
Digits (moderate redundancy),L1,17,5024,1.0,0.9711111111111111,437,13,-13,13,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,17,5024,1.0,0.9666666666666667,435,15,-15,15,10,64,20,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,18,8360,1.0,0.9755555555555555,439,11,-11,11,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,18,8360,1.0,0.9688888888888889,436,14,-14,14,10,64,32,,,,
Digits (moderate redundancy),RFE,18,8360,1.0,0.9711111111111111,437,13,-13,13,10,64,32,,,,
Digits (moderate redundancy),L1,18,8360,1.0,0.9711111111111111,437,13,-13,13,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,18,8360,1.0,0.9511111111111111,428,22,-22,22,10,64,19,None,0.8,0.25,1.0
Digits (moderate redundancy),Baseline,19,3950,1.0,0.98,441,9,-9,9,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,19,3950,1.0,0.9777777777777777,440,10,-10,10,10,64,32,,,,
Digits (moderate redundancy),RFE,19,3950,1.0,0.9777777777777777,440,10,-10,10,10,64,32,,,,
Digits (moderate redundancy),L1,19,3950,1.0,0.9777777777777777,440,10,-10,10,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,19,3950,1.0,0.9533333333333334,429,21,-21,21,10,64,18,None,0.8,0.25,1.0
Digits (moderate redundancy),Baseline,20,6774,1.0,0.9777777777777777,440,10,-10,10,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,20,6774,1.0,0.9733333333333334,438,12,-12,12,10,64,32,,,,
Digits (moderate redundancy),RFE,20,6774,1.0,0.9755555555555555,439,11,-11,11,10,64,32,,,,
Digits (moderate redundancy),L1,20,6774,1.0,0.9755555555555555,439,11,-11,11,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,20,6774,1.0,0.9555555555555556,430,20,-20,20,10,64,18,None,0.8,0.25,3.0
Digits (moderate redundancy),Baseline,21,9838,1.0,0.9711111111111111,437,13,-13,13,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,21,9838,1.0,0.9666666666666667,435,15,-15,15,10,64,32,,,,
Digits (moderate redundancy),RFE,21,9838,1.0,0.9733333333333334,438,12,-12,12,10,64,32,,,,
Digits (moderate redundancy),L1,21,9838,1.0,0.9711111111111111,437,13,-13,13,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,21,9838,1.0,0.9555555555555556,430,20,-20,20,10,64,20,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,22,9935,1.0,0.98,441,9,-9,9,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,22,9935,1.0,0.9733333333333334,438,12,-12,12,10,64,32,,,,
Digits (moderate redundancy),RFE,22,9935,1.0,0.9688888888888889,436,14,-14,14,10,64,32,,,,
Digits (moderate redundancy),L1,22,9935,1.0,0.9666666666666667,435,15,-15,15,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,22,9935,1.0,0.9733333333333334,438,12,-12,12,10,64,21,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,23,6274,1.0,0.9777777777777777,440,10,-10,10,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,23,6274,1.0,0.9733333333333334,438,12,-12,12,10,64,32,,,,
Digits (moderate redundancy),RFE,23,6274,1.0,0.9755555555555555,439,11,-11,11,10,64,32,,,,
Digits (moderate redundancy),L1,23,6274,1.0,0.9733333333333334,438,12,-12,12,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,23,6274,1.0,0.96,432,18,-18,18,10,64,21,None,0.8,0.25,1.0
Digits (moderate redundancy),Baseline,24,2291,1.0,0.9733333333333334,438,12,-12,12,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,24,2291,1.0,0.9777777777777777,440,10,-10,10,10,64,32,,,,
Digits (moderate redundancy),RFE,24,2291,1.0,0.98,441,9,-9,9,10,64,32,,,,
Digits (moderate redundancy),L1,24,2291,1.0,0.9755555555555555,439,11,-11,11,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,24,2291,1.0,0.9644444444444444,434,16,-16,16,10,64,21,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,25,3462,1.0,0.9733333333333334,438,12,-12,12,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,25,3462,1.0,0.9666666666666667,435,15,-15,15,10,64,32,,,,
Digits (moderate redundancy),RFE,25,3462,1.0,0.9711111111111111,437,13,-13,13,10,64,32,,,,
Digits (moderate redundancy),L1,25,3462,1.0,0.9711111111111111,437,13,-13,13,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,25,3462,1.0,0.9466666666666667,426,24,-24,24,10,64,19,None,0.8,0.25,1.0
Digits (moderate redundancy),Baseline,26,645,1.0,0.9733333333333334,438,12,-12,12,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,26,645,1.0,0.9733333333333334,438,12,-12,12,10,64,32,,,,
Digits (moderate redundancy),RFE,26,645,1.0,0.9755555555555555,439,11,-11,11,10,64,32,,,,
Digits (moderate redundancy),L1,26,645,1.0,0.9644444444444444,434,16,-16,16,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,26,645,1.0,0.9511111111111111,428,22,-22,22,10,64,19,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,27,4254,1.0,0.9755555555555555,439,11,-11,11,10,64,64,,,,
Digits (moderate redundancy),MutualInfo,27,4254,1.0,0.9711111111111111,437,13,-13,13,10,64,32,,,,
Digits (moderate redundancy),RFE,27,4254,1.0,0.9755555555555555,439,11,-11,11,10,64,32,,,,
Digits (moderate redundancy),L1,27,4254,1.0,0.9777777777777777,440,10,-10,10,10,64,32,,,,
Digits (moderate redundancy),ElliotFS,27,4254,1.0,0.9622222222222222,433,17,-17,17,10,64,22,None,0.8,0.25,0.0
Digits (moderate redundancy),Baseline,28,4664,1.0,0.9777777777777777,440,10,-10,10,10,64,64,,,,
